,CNN_Keras,CNN_Torch,Hybrid_Keras,Hybrid_Torch
architecture,CNN,CNN,Hybrid,Hybrid
framework,Keras,Torch,Keras,Torch
best_val_accuracy,0.9670000076293945,0.967,0.9729999899864197,0.971
best_val_loss,0.08748124539852142,0.10603904817253351,0.07483458518981934,0.09667277161497623
best_epoch,38,31,22,41
epochs_ran,48,41,32,50
param_count,456673,455201,795617,794145
batch_size,128,128,128,128
learning_rate,0.001,0.001,0.001,0.001
train_dataset_size,4000,4000,4000,4000
val_dataset_size,1000,1000,1000,1000
total_training_time_sec,742.6073174476624,279.14383912086487,496.73803782463074,261.3813953399658
avg_time_per_epoch_sec,15.470985780159632,6.808386320021095,15.52306368201971,5.2276279067993165
model_size_mb,5.307802200317383,1.753525733947754,9.28660774230957,3.054917335510254
gpu_name,Tesla T4,Tesla T4,Tesla T4,Tesla T4
seed_used,7331,7331,7331,7331
run_timestamp,2026-02-17T21:53:25.898698,2026-02-17T21:58:07.806792,2026-02-18T08:42:19.794336,2026-02-18T08:46:44.029287
